Record Index,Date (Europe/Berlin),Timestamp / Uptime,SoC (%),Temp (°C),Capacity (Ah),Voltage (V),Odometer (km),Range (km),Power (W),ServiceDays (d),ServiceKm (km),TirePressureAlarm
1,Offline (Uptime: 8s),8,,,,14.6,,,,,,
2,Offline (Uptime: 9s),9,,,,14.7,,,,,,
3,Offline (Uptime: 9s),9,,,,14.9,,,,,,
4,Offline (Uptime: 10s),10,,,,14.7,,,,,,
5,Offline (Uptime: 10s),10,,,,14.6,,,,,,
6,Offline (Uptime: 11s),11,,,,14.7,,,,,,
7,Offline (Uptime: 11s),11,,,,14.6,,,,,,
8,Offline (Uptime: 12s),12,,,,14.7,,,,,,
9,Offline (Uptime: 12s),12,,,,14.6,,,,,,
10,Offline (Uptime: 13s),13,,,,14.6,,,,,,
11,Offline (Uptime: 14s),14,,,,14.6,,,,,,
12,Offline (Uptime: 15s),15,,,,14.6,,,,,,
13,Offline (Uptime: 15s),15,,,,14.5,,,,,,
14,Offline (Uptime: 16s),16,,,,14.6,,,,,,
15,Offline (Uptime: 17s),17,,,,14.6,,,,,,
16,Offline (Uptime: 18s),18,,,,14.6,,,,,,
17,Offline (Uptime: 19s),19,,,,14.6,,,,,,
18,Offline (Uptime: 19s),19,,,,12.7,,,,,,
19,Offline (Uptime: 20s),20,,,,14.6,,,,,,
20,Offline (Uptime: 20s),20,,,,12.6,,,,,,
21,Offline (Uptime: 20s),20,,,,12.5,,,,,,
22,Offline (Uptime: 20s),20,,,,12.7,,,,,,
23,Offline (Uptime: 24s),24,,,,14.7,,,,,,
24,Offline (Uptime: 25s),25,,,,14.7,,,,,,
25,Offline (Uptime: 26s),26,,,,14.6,,,,,,
26,Offline (Uptime: 31s),31,,,,14.6,,,,,,
27,Offline (Uptime: 33s),33,,,,14.6,,,,,,
28,Offline (Uptime: 33s),33,,,,12.4,,,,,,
29,Offline (Uptime: 34s),34,,,,14.6,,,,,,
30,Offline (Uptime: 35s),35,,,,14.6,,,,,,
31,Offline (Uptime: 36s),36,,,,14.6,,,,,,
32,Offline (Uptime: 37s),37,,,,14.6,,,,,,
33,Offline (Uptime: 38s),38,,,,14.7,,,,,,
34,Offline (Uptime: 38s),38,,,,14.6,,,,,,
35,Offline (Uptime: 40s),40,,,,14.6,,,,,,
36,Offline (Uptime: 40s),40,,,,14.8,,,,,,
37,Offline (Uptime: 41s),41,,,,14.6,,,,,,
38,Offline (Uptime: 45s),45,,,,14.6,,,,,,
39,Offline (Uptime: 47s),47,,,,12,,,,,,
40,Offline (Uptime: 58s),58,,,,14.6,,,,,,
41,Offline (Uptime: 61s),61,,,,14.7,,,,,,
42,Offline (Uptime: 65s),65,,,,14.6,,,,,,
43,Offline (Uptime: 81s),81,,,,14.6,,,,,,
44,Offline (Uptime: 96s),96,,,,14.6,,,,,,
45,Offline (Uptime: 143s),143,,,,14.6,,,,,,
